gender,metric,months,median,source
Nữ,HFA,29,89.9,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,30,90.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,31,91.5,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,32,92.2,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,33,92.9,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,34,93.6,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,35,94.3,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,36,95.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,37,95.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,38,96.4,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,39,97.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,40,97.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,41,98.4,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,42,99,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,43,99.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,44,100.3,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,45,100.9,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,46,101.5,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,47,102.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,48,102.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,49,103.3,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,50,103.9,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,51,104.5,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,52,105.1,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,53,105.6,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,54,106.2,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,55,106.7,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,56,107.3,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,57,107.8,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,58,108.4,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,59,108.9,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,60,109.4,WHO Child Growth Standards 2006 (0-60 thang)
Nữ,HFA,61,109.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,62,110.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,63,110.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,64,111.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,65,111.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,66,112.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,67,112.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,68,113.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,69,113.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,70,114.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,71,114.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,72,115.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,73,115.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,74,116.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,75,116.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,76,117,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,77,117.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,78,118,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,79,118.4,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,80,118.9,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,81,119.4,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,82,119.9,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,83,120.3,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,84,120.8,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,85,121.3,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,86,121.8,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,87,122.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,88,122.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,89,123.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,90,123.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,91,124.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,92,124.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,93,125.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,94,125.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,95,126.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,96,126.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,97,127,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,98,127.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,99,128,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,100,128.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,101,129,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,102,129.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,103,130,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,104,130.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,105,131,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,106,131.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,107,132,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,108,132.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,109,133,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,110,133.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,111,134,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,112,134.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,113,135,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,114,135.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,115,136.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,116,136.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,117,137.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,118,137.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,119,138.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,120,138.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,121,139.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,122,139.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,123,140.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,124,140.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,125,141.3,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,126,141.8,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,127,142.3,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,128,142.9,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,129,143.4,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,130,143.9,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,131,144.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,132,145,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,133,145.5,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,134,146.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,135,146.6,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,136,147.1,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,137,147.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,138,148.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,139,148.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,140,149.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,141,149.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,142,150.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,143,150.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,144,151.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,145,151.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,146,152.2,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,147,152.7,WHO Growth Reference 2007 (61-228 thang)
Nữ,HFA,148,153.1,WHO Growth Reference 2007 (61-228 thang)
